,Date,Compound_stockmarket,Compound_DowJones,Compound_NASDAQ,Compound_NYSE
0,2017-12-01,0.0741075000000009,0.11264720394736832,0.226,0.21663636363636365
1,2017-12-02,-0.15489790590935168,0.015203879310344831,0.07221739130434783,0.0844357142857143
2,2017-12-03,-0.23657468644476445,-0.08659682539682552,0.2678650793650793,0.25886421052631564
3,2017-12-04,0.03154880886426595,0.02382972972972979,0.1888976331360936,0.3491484042553193
4,2017-12-05,0.012239962825278745,-0.014470631970260238,0.15307206349206334,0.29061376811594186
5,2017-12-06,0.07698206307490138,-0.06846487804878053,0.2575401746724889,0.2467848837209301
6,2017-12-07,0.1178929680365297,-0.013719254658385107,0.3128857765667584,0.2596899550224884
7,2017-12-08,0.124872164948453,0.1970367088607595,0.35286153846154056,0.1306225458468173
8,2017-12-09,0.09696704929101974,0.2702216216216214,0.334079639780736,0.2484859773371106
9,2017-12-10,0.030656867933605832,0.2649377142857138,0.3599728971962625,0.2339059957173447
10,2017-12-11,0.10784088463837474,0.15555511551155074,0.3321142857142853,0.2613543710021317
11,2017-12-12,0.1491881914072566,0.1772477366255142,0.2607839561534633,0.2600632226322258
12,2017-12-13,0.10255981072555168,0.12463062015503885,0.31270235091743165,0.27695184094256264
13,2017-12-14,0.1046460122699388,0.09595019455252923,0.3153874371859298,0.31137538148524874
14,2017-12-15,0.12513519537699525,0.09800941176470587,0.3237114454277295,0.2832216725559473
